Price,Close,High,Low,Open,Volume,SMA_short,SMA_long,Position,Signal,buy_and_hold
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,
Date,,,,,,,,,,
2014-12-25,319.00799560546875,322.6700134277344,316.9580078125,322.2860107421875,9883640,356.3793975830078,366.4684094238281,0,,100000.0
2014-12-26,327.92401123046875,331.42401123046875,316.62701416015625,319.1520080566406,16410500,354.8804481506348,365.174309387207,0,0.0,102794.9191706238
2014-12-27,315.8630065917969,328.9110107421875,312.6300048828125,327.5830078125,15185200,353.09182357788086,364.08853942871093,0,0.0,99014.13473737461
2014-12-28,317.239013671875,320.02801513671875,311.0780029296875,316.1600036621094,11676600,351.64284896850586,363.31296966552736,0,0.0,99445.47410787111
2014-12-29,312.6700134277344,320.2669982910156,312.3070068359375,317.70098876953125,12302500,349.9457244873047,362.3506298828125,0,0.0,98013.22152891339
2014-12-30,310.73699951171875,314.8089904785156,309.37298583984375,312.718994140625,12528300,348.7681495666504,361.4697897338867,0,0.0,97407.27624144596
2014-12-31,320.1929931640625,320.1929931640625,310.21099853515625,310.91400146484375,13942900,348.001774597168,360.65019958496094,0,0.0,100371.46327832462
2015-01-01,314.2489929199219,320.43499755859375,314.00299072265625,320.43499755859375,8036550,347.03499908447264,359.4347796630859,0,0.0,98508.18702004179
2015-01-02,315.0320129394531,315.8389892578125,313.56500244140625,314.0790100097656,7860650,345.7214744567871,358.3530499267578,0,0.0,98753.64168898985
2015-01-03,281.0820007324219,315.1499938964844,281.0820007324219,314.84600830078125,33054400,343.3259994506836,357.0481298828125,0,0.0,88111.27138018458
2015-01-04,264.19500732421875,287.2300109863281,257.61199951171875,281.14599609375,55629100,340.54717483520506,355.645830078125,0,0.0,82817.67572088078
2015-01-05,274.4739990234375,278.34100341796875,265.0840148925781,265.0840148925781,43962800,338.1997749328613,354.39537017822266,0,0.0,86039.84940957141
2015-01-06,286.1889953613281,287.5530090332031,272.6960144042969,274.6109924316406,23245700,336.11274948120115,353.48545013427736,0,0.0,89712.17000945352
2015-01-07,294.3370056152344,298.7539978027344,283.0790100097656,286.0769958496094,24866800,334.0599998474121,352.67415008544924,0,0.0,92266.34117950257
2015-01-08,283.3489990234375,294.135009765625,282.17498779296875,294.135009765625,19982500,331.7564498901367,351.63820007324216,0,0.0,88821.9113397608
