Date,total,returns
2014-12-25,100000.0,
2014-12-26,100000.0,0.0
2014-12-27,100000.0,0.0
2014-12-28,100000.0,0.0
2014-12-29,100000.0,0.0
2014-12-30,100000.0,0.0
2014-12-31,100000.0,0.0
2015-01-01,100000.0,0.0
2015-01-02,100000.0,0.0
2015-01-03,100000.0,0.0
2015-01-04,100000.0,0.0
2015-01-05,100000.0,0.0
2015-01-06,100000.0,0.0
2015-01-07,100000.0,0.0
2015-01-08,100000.0,0.0
2015-01-09,100000.0,0.0
2015-01-10,100000.0,0.0
2015-01-11,100000.0,0.0
2015-01-12,100000.0,0.0
2015-01-13,100000.0,0.0
2015-01-14,100000.0,0.0
2015-01-15,100000.0,0.0
2015-01-16,100000.0,0.0
2015-01-17,100000.0,0.0
2015-01-18,100000.0,0.0
2015-01-19,100000.0,0.0
2015-01-20,100000.0,0.0
2015-01-21,100000.0,0.0
2015-01-22,100000.0,0.0
2015-01-23,100000.0,0.0
2015-01-24,100000.0,0.0
2015-01-25,100000.0,0.0
2015-01-26,100000.0,0.0
2015-01-27,100000.0,0.0
2015-01-28,100000.0,0.0
2015-01-29,100000.0,0.0
2015-01-30,100000.0,0.0
2015-01-31,100000.0,0.0
2015-02-01,100000.0,0.0
2015-02-02,100000.0,0.0
2015-02-03,100000.0,0.0
2015-02-04,100000.0,0.0
2015-02-05,100000.0,0.0
2015-02-06,100000.0,0.0
2015-02-07,100000.0,0.0
2015-02-08,100000.0,0.0
2015-02-09,100000.0,0.0
2015-02-10,100000.0,0.0
2015-02-11,100000.0,0.0
2015-02-12,100000.0,0.0
2015-02-13,100000.0,0.0
2015-02-14,100000.0,0.0
2015-02-15,100000.0,0.0
2015-02-16,100000.0,0.0
2015-02-17,100000.0,0.0
2015-02-18,100000.0,0.0
2015-02-19,100000.0,0.0
2015-02-20,100000.0,0.0
2015-02-21,100000.0,0.0
2015-02-22,100000.0,0.0
2015-02-23,100000.0,0.0
2015-02-24,100000.0,0.0
2015-02-25,100000.0,0.0
2015-02-26,100000.0,0.0
2015-02-27,100000.0,0.0
2015-02-28,100000.0,0.0
2015-03-01,100000.0,0.0
2015-03-02,100000.0,0.0
2015-03-03,100000.0,0.0
2015-03-04,100000.0,0.0
2015-03-05,100000.0,0.0
2015-03-06,100000.0,0.0
2015-03-07,100000.0,0.0
2015-03-08,100000.0,0.0
2015-03-09,100000.0,0.0
2015-03-10,100000.0,0.0
2015-03-11,100000.0,0.0
2015-03-12,100000.0,0.0
2015-03-13,100000.0,0.0
2015-03-14,100000.0,0.0
2015-03-15,100000.0,0.0
2015-03-16,100000.0,0.0
2015-03-17,100000.0,0.0
2015-03-18,100000.0,0.0
2015-03-19,100000.0,0.0
2015-03-20,100000.0,0.0
2015-03-21,100000.0,0.0
2015-03-22,100000.0,0.0
2015-03-23,100000.0,0.0
2015-03-24,100000.0,0.0
2015-03-25,100000.0,0.0
2015-03-26,100000.0,0.0
2015-03-27,99395.25262876315,-0.006047473712368467
2015-03-28,101716.4817848557,0.023353521367486696
2015-03-29,97658.65148212531,-0.039893537719022376
2015-03-30,99595.22447270788,0.019830019780039843
2015-03-31,98266.62212615302,-0.013340020604290515
2015-04-01,99493.02523675247,0.012480362956050373
2015-04-02,101799.77115377142,0.023185001275515038
2015-04-03,102329.68334015542,0.005205435929551916
2015-04-04,102078.20666679642,-0.002457514429347496
2015-04-05,104854.90575672223,0.027201683695223133
2015-04-06,102800.4469359354,-0.01959334955250891
2015-04-07,101870.17971065817,-0.009049252731916368
2015-04-08,98587.70921266006,-0.03222209391719244
2015-04-09,98046.12570898955,-0.005493418074075329
2015-04-10,94986.56447807263,-0.031205325134396444
2015-04-11,95179.69684413352,0.002033259831241363
2015-04-12,95019.15330088,-0.0016867414855966656
2015-04-13,90365.42888284496,-0.04897669844835317
2015-04-14,88181.40063543293,-0.024168847250684022
2015-04-15,90062.04216863513,0.021326963732151594
2015-04-16,91969.24346963398,0.02117652737018494
2015-04-17,89679.39978117355,-0.0248979289387814
2015-04-18,89870.11929731672,0.0021266814520228827
2015-04-19,89565.93443936818,-0.0033847163031152094
2015-04-20,90381.12161666102,0.00910153154093063
2015-04-21,94663.46361351719,0.047380934428089105
2015-04-22,94223.68027393275,-0.004645755847049293
2015-04-23,95143.48567666597,0.00976193458012986
2015-04-24,93053.61383215025,-0.021965474878836155
2015-04-25,91090.88628520758,-0.021092437640122474
2015-04-26,91090.88628520758,0.0
2015-04-27,91090.88628520758,0.0
2015-04-28,91090.88628520758,0.0
2015-04-29,91090.88628520758,0.0
2015-04-30,91090.88628520758,0.0
2015-05-01,91090.88628520758,0.0
2015-05-02,91090.88628520758,0.0
2015-05-03,91090.88628520758,0.0
2015-05-04,91090.88628520758,0.0
2015-05-05,91090.88628520758,0.0
2015-05-06,91090.88628520758,0.0
2015-05-07,91090.88628520758,0.0
2015-05-08,91090.88628520758,0.0
2015-05-09,91090.88628520758,0.0
2015-05-10,91090.88628520758,0.0
2015-05-11,91090.88628520758,0.0
2015-05-12,91090.88628520758,0.0
2015-05-13,91090.88628520758,0.0
2015-05-14,91090.88628520758,0.0
2015-05-15,91090.88628520758,0.0
2015-05-16,91090.88628520758,0.0
2015-05-17,91090.88628520758,0.0
2015-05-18,91090.88628520758,0.0
2015-05-19,91090.88628520758,0.0
2015-05-20,91090.88628520758,0.0
2015-05-21,91090.88628520758,0.0
2015-05-22,91090.88628520758,0.0
2015-05-23,91090.88628520758,0.0
